Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
55,Standard,Snapback,,Cigar,Laser Eyes,Bloody Wraps,,Count's Lair,Dosbrak
56,Standard,,,,,Bloody Gloves,Suit,Purple,Dosbrak
57,Standard,Announcer,Red Terminator,,,199 Belt,Suit,Mustard,Dosbrak
58,Standard,,,Cigar,Bruised Eye,199 Belt,Bloody Body,Black,Dosbrak
59,Bald,,,,,,Suit,Black,Dosbrak
60,Old Mike,,,,,Diamond Gloves,Punk Jacket,Octagon,Dosbrak
61,Standard,,,,Wayfarers,,Suit,Mustard,Dosbrak
62,Standard,,,,,Gold Gloves,Punk Jacket,Red,Dosbrak
63,Bald,Announcer,,,,Bloody Wraps,,Mustard,Dosbrak
64,Bald,,,,,Bare Fists,,Teal,Dosbrak
65,Standard,,,,Wayfarers,Bloody Wraps,Tattoo,Black,Dosbrak
66,Standard,,,Cigar,,Bloody Gloves,Bloody Body,Teal,Dosbrak
67,Standard,,Red Terminator,,,Bare Fists,Bloody Body,Red,Dosbrak
68,Standard,,,,,Bloody Wraps,Patriot Flag,Red,Dosbrak
69,Standard,DJ Mikey B,,Dosbrak Bandana,,Microphone,Suit,Red,Dosbrak
70,Standard,Announcer,,,Bruised Eye,Bloody Wraps,Suit,Mustard,Dosbrak
71,Standard,Sparring Headgear,Bloody,,,Gloves,,Mustard,Dosbrak
72,Standard,Snapback,,,,199 Belt,Punk Jacket,Black,Dosbrak
73,Bald,,,,Laser Eyes,199 Belt,,Teal,Dosbrak
74,Standard,DJ Mikey B,,,,Bare Fists,Bloody Body,Red,Dosbrak
75,Standard,,Bloody,,,199 Belt,Suit,Teal,Dosbrak
76,Standard,Announcer,,,Laser Eyes,199 Belt,,Octagon,Dosbrak
77,Standard,,,,,Gloves,Bloody Body,Black,Dosbrak
78,Standard,Announcer,,,,199 Belt,Suit,Red,Dosbrak
79,Standard,,,,Wayfarers,SOL Gloves,Tattoo,Red,Dosbrak
80,Standard,,Bloody,,Wayfarers,Bloody Wraps,Tattoo,Black,Dosbrak
81,Bald,Sparring Headgear,,,,Gold Gloves,,Red,Dosbrak
82,Bald,,,,Wayfarers,Knuckle Duster Spikes,Tattoo,Mustard,Dosbrak
83,Standard,,,,,Gloves,Punk Jacket,Mustard,Dosbrak
84,Bald,,,,,,Butcher,Black,Dosbrak
85,Standard,,,,Laser Eyes,,Butcher,Mustard,Dosbrak
86,Standard,,,Diamond Grill,Bruised Eye,Bare Fists,Bloody Body,Blockasset,Dosbrak
87,Bald,,Bloody,,,,Bloody Body,Red,Dosbrak
88,Standard,,,Falling Mouthguard,Bruised Eye,Bloody Gloves,Suit,Octagon,Dosbrak
89,Standard,,,,,SOL Gloves,Suit,Black,Dosbrak
90,Bald,,,,,,Patriot Flag,Black,Dosbrak
91,Standard,Sparring Headgear,,,Laser Eyes,,,Purple,Dosbrak
92,Standard,,,,Wayfarers,,Bloody Body,Teal,Dosbrak
93,Bald,,,,,,Butcher,Purple,Dosbrak
94,Standard,,,,Wayfarers,SOL Gloves,Patriot Flag,Mustard,Dosbrak
95,Old Mike,,,Falling Mouthguard,Wayfarers,Gloves,Jiu Jitsu Robe,Red,Dosbrak
96,Standard,,,,Bruised Eye,Bloody Wraps,Jiu Jitsu Robe,Mustard,Dosbrak
97,Standard,,Bloody,,,Gold Gloves,,Black,Dosbrak
98,Standard,,,,,Bloody Wraps,,Teal,Dosbrak
99,Standard,,,,Bruised Eye,,,Red,Dosbrak
100,Bald,,,Cigar,,Gloves,,Black,Dosbrak
101,Bald,Snapback,Bloody,,,Knuckle Duster Spikes,Jiu Jitsu Robe,Black,Dosbrak
102,Bald,,Bloody,,,Bare Fists,Punk Jacket,Red,Dosbrak
103,Standard,,Gold Terminator,,Wayfarers,Microphone,Suit,Red,Dosbrak
104,Old Mike,Announcer,,,,Gold Gloves,,Teal,Dosbrak
105,Standard,,,,,,Butcher,Black,Dosbrak
106,Old Mike,,,,Wayfarers,Bloody Wraps,The Count,Red,Dosbrak
107,Standard,Announcer,,,,Bare Fists,Jiu Jitsu Robe,Black,Dosbrak
108,Standard,Snapback,,,Bruised Eye,199 Belt,Jiu Jitsu Robe,Octagon,Dosbrak
109,Standard,,,Falling Mouthguard,,,,Teal,Dosbrak
110,Standard,,,,Wayfarers,Gloves,Jiu Jitsu Robe,Teal,Dosbrak
111,Standard,Sparring Headgear,,,,SOL Gloves,,Purple,Dosbrak
112,Standard,Announcer,,Falling Mouthguard,,SOL Gloves,Punk Jacket,Black,Dosbrak
113,Bald,Snapback,,,,Bloody Wraps,Tattoo,Teal,Dosbrak
114,Bald,,Red Terminator,Cigar,,Bare Fists,Bloody Body,Red,Dosbrak
115,Old Mike,,Gold Terminator,Cigar,,Bare Fists,,Purple,Dosbrak
116,Bald,Sparring Headgear,,,,,,Mustard,Dosbrak
117,Bald,,,,Laser Eyes,SOL Gloves,Punk Jacket,Black,Dosbrak
118,Standard,,Bloody,,Wayfarers,Gloves,Bloody Body,Count's Lair,Dosbrak
119,Old Mike,,,,Laser Eyes,,Tattoo,Purple,Dosbrak
120,Standard,Snapback,,,Bruised Eye,199 Belt,Tattoo,Red,Dosbrak
121,Bald,,,,,Bare Fists,Bloody Body,Red,Dosbrak
122,Standard,Sparring Headgear,Bloody,,,Gloves,,Teal,Dosbrak
123,Standard,Announcer,,,,Gold Gloves,Bloody Body,Octagon,Dosbrak
124,Bald,,Red Terminator,,,Bare Fists,Punk Jacket,Blockasset,Dosbrak
125,Standard,Announcer,,,Laser Eyes,Bloody Wraps,,Mustard,Dosbrak
126,Standard,Sparring Headgear,Bloody,,,,,Purple,Dosbrak
127,Standard,,,,Wayfarers,Bare Fists,Jiu Jitsu Robe,Mustard,Dosbrak
128,Standard,DJ Mikey B,Bloody,Falling Mouthguard,Laser Eyes,Gloves,Jiu Jitsu Robe,Red,Dosbrak
129,Standard,,,,Bruised Eye,Bloody Wraps,Jiu Jitsu Robe,Purple,Dosbrak
130,Bald,,Bloody,,Laser Eyes,,Patriot Flag,Teal,Dosbrak
131,Standard,,Bloody,,Wayfarers,Microphone,Suit,Mustard,Dosbrak
132,Standard,,Bloody,Cigar,,Bloody Wraps,Jiu Jitsu Robe,Purple,Dosbrak
133,Bald,,Red Terminator,,,,Jiu Jitsu Robe,Teal,Dosbrak
134,Old Mike,,,,,Bare Fists,,Mustard,Dosbrak
135,Standard,,,,,,Butcher,Purple,Dosbrak
136,Standard,,,,,Bloody Wraps,,Mustard,Dosbrak
137,Standard,DJ Mikey B,,,Laser Eyes,Bloody Gloves,Jiu Jitsu Robe,Teal,Dosbrak
138,Standard,,,,Wayfarers,Bloody Gloves,Patriot Flag,Red,Dosbrak
139,Standard,,,,,,,Teal,Dosbrak
140,Standard,,,,Bruised Eye,,Butcher,Red,Dosbrak
141,Standard,,,,,SOL Gloves,,Mustard,Dosbrak
142,Bald,,,,,Bloody Gloves,Jiu Jitsu Robe,Teal,Dosbrak
143,Standard,,Bloody,Falling Mouthguard,Wayfarers,Microphone,Suit,Red,Dosbrak
144,Standard,Announcer,,,Laser Eyes,Bare Fists,Bloody Body,Teal,Dosbrak
145,Standard,,,,,Gloves,Punk Jacket,Black,Dosbrak
146,Standard,,,Falling Mouthguard,Bruised Eye,SOL Gloves,Punk Jacket,Mustard,Dosbrak
147,Standard,,Bloody,,Laser Eyes,Bloody Gloves,Punk Jacket,Teal,Dosbrak
148,Old Mike,Announcer,,Falling Mouthguard,Bruised Eye,,Suit,Teal,Dosbrak
149,Standard,Announcer,,,Bruised Eye,Bare Fists,,Black,Dosbrak
150,Standard,Snapback,,Falling Mouthguard,,Gloves,Bloody Body,Teal,Dosbrak
151,Standard,,,Falling Mouthguard,,Bare Fists,Astronaut,Teal,Dosbrak
152,Bald,,,Cigar,,,Suit,Teal,Dosbrak
153,Standard,Snapback,Red Terminator,,,Bloody Gloves,Patriot Flag,Mustard,Dosbrak
154,Standard,,,,,,Butcher,Teal,Dosbrak
155,Standard,,Bloody,,,,,Black,Dosbrak
156,Bald,,,,,Gloves,Suit,Mustard,Dosbrak
157,Bald,Sparring Headgear,,,,Gold Gloves,,Mustard,Dosbrak
158,Bald,,Bloody,,Wayfarers,Diamond Gloves,Punk Jacket,Teal,Dosbrak
159,Standard,DJ Mikey B,,,,Bloody Gloves,Punk Jacket,Black,Dosbrak
160,Old Mike,,,,,,The Count,Black,Dosbrak
161,Standard,,Red Terminator,,,Gloves,,Red,Dosbrak
162,Bald,,,Cigar,,SOL Gloves,Tattoo,Teal,Dosbrak
163,Standard,Sparring Headgear,Bloody,,,Bloody Wraps,,Black,Dosbrak
164,Standard,,Red Terminator,,Wayfarers,,Tattoo,Purple,Dosbrak
165,Standard,,,Falling Mouthguard,,,Butcher,Purple,Dosbrak
166,Bald,,Bloody,Cigar,,Gloves,Bloody Body,Teal,Dosbrak
167,Old Mike,,,Diamond Grill,,Gloves,Bloody Body,Mustard,Dosbrak
168,Bald,,,,Wayfarers,Knuckle Duster Spikes,Bloody Body,Red,Dosbrak
169,Standard,Announcer,Bloody,,,Diamond Gloves,Punk Jacket,Red,Dosbrak
170,Standard,,,,Wayfarers,Microphone,Suit,Mustard,Dosbrak
171,Bald,Sparring Headgear,Bloody,Diamond Grill,,Bloody Wraps,,Mustard,Dosbrak
172,Bald,,,,Bruised Eye,Bare Fists,Suit,Black,Dosbrak
173,Bald,Snapback,Bloody,,,,Tattoo,Count's Lair,Dosbrak
174,Standard,Sparring Headgear,Red Terminator,,,,,Black,Dosbrak
175,Bald,Announcer,,,,,Jiu Jitsu Robe,Mustard,Dosbrak
176,Standard,,,,,,Butcher,Mustard,Dosbrak
177,Standard,,Bloody,,,199 Belt,The Count,Teal,Dosbrak
178,Bald,Announcer,,Diamond Grill,,Bare Fists,Suit,Purple,Dosbrak
179,Standard,,Red Terminator,,Wayfarers,Gold Gloves,Tattoo,Teal,Dosbrak
180,Standard,Snapback,,Falling Mouthguard,,Bloody Wraps,Bloody Body,Red,Dosbrak
181,Bald,,,,,Bloody Wraps,,Red,Dosbrak
182,Standard,,Red Terminator,,,Knuckle Duster Spikes,Jiu Jitsu Robe,Black,Dosbrak
183,Bald,,Bloody,,,Bloody Wraps,Jiu Jitsu Robe,Teal,Dosbrak
184,Standard,,,,,,Suit,Black,Dosbrak
185,Standard,,,,Wayfarers,Bloody Wraps,Suit,Red,Dosbrak
186,Bald,Announcer,Bloody,,,Bloody Wraps,Suit,Teal,Dosbrak
187,Standard,,,Cigar,Bruised Eye,SOL Gloves,Tattoo,Black,Dosbrak
188,Standard,Snapback,,,,Gloves,Punk Jacket,Mustard,Dosbrak
189,Standard,,Bloody,Cigar,Wayfarers,Gold Gloves,Suit,Mustard,Dosbrak
190,Standard,Sparring Headgear,,,,Bloody Wraps,,Teal,Dosbrak
191,Standard,Snapback,Red Terminator,,,,,Octagon,Dosbrak
192,Standard,Snapback,,,,Bare Fists,Tattoo,Teal,Dosbrak
193,Old Mike,,,,Laser Eyes,Bloody Gloves,Punk Jacket,Black,Dosbrak
194,Bald,Snapback,,,,Diamond Gloves,Suit,Purple,Dosbrak
195,Standard,,,,,SOL Gloves,Suit,Teal,Dosbrak
196,Standard,,,,,Gloves,Patriot Flag,Mustard,Dosbrak
197,Standard,Announcer,Bloody,,Laser Eyes,Gloves,,Teal,Dosbrak
198,Bald,,,,Bruised Eye,Knuckle Duster Spikes,Tattoo,Black,Dosbrak
199,Standard,Snapback,Bloody,,,Gloves,Tattoo,Mustard,Dosbrak
200,Standard,,,,,,Butcher,Blockasset,Dosbrak
201,Standard,DJ Mikey B,,Cigar,,Bloody Gloves,Tattoo,Mustard,Dosbrak
202,Bald,,,,,Bloody Wraps,Bloody Body,Red,Dosbrak
203,Standard,Sparring Headgear,,Cigar,,Bare Fists,,Octagon,Dosbrak
204,Standard,,,,Bruised Eye,Bloody Gloves,Punk Jacket,Red,Dosbrak
205,Standard,Snapback,Bloody,,Laser Eyes,Bloody Gloves,,Purple,Dosbrak
206,Standard,,Bloody,Cigar,Laser Eyes,,Jiu Jitsu Robe,Black,Dosbrak
207,Standard,Announcer,Bloody,,Laser Eyes,Gold Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
208,Bald,Sparring Headgear,Bloody,Cigar,,SOL Gloves,,Red,Dosbrak
209,Standard,Announcer,,,,Knuckle Duster Spikes,Suit,Teal,Dosbrak
210,Standard,Snapback,,,Laser Eyes,Bloody Wraps,Patriot Flag,Teal,Dosbrak
211,Bald,,,,,Bare Fists,Tattoo,Teal,Dosbrak
212,Standard,,,,Bruised Eye,Bloody Wraps,Suit,Black,Dosbrak
213,Standard,DJ Mikey B,,,,,Patriot Flag,Mustard,Dosbrak
214,Old Mike,Sparring Headgear,,,,,,Mustard,Dosbrak
215,Standard,,,,Bruised Eye,Bloody Gloves,Suit,Black,Dosbrak
216,Standard,Crown,Bloody,Falling Mouthguard,,Microphone,Suit,Black,Dosbrak
217,Standard,,Bloody,Falling Mouthguard,,Bare Fists,,Octagon,Dosbrak
218,Old Mike,DJ Mikey B,,,,,Bloody Body,Teal,Dosbrak
219,Standard,,,Falling Mouthguard,,Bare Fists,Bloody Body,Red,Dosbrak
220,Old Mike,,,,Bruised Eye,Bare Fists,Jiu Jitsu Robe,Teal,Dosbrak
221,Standard,,Red Terminator,,,SOL Gloves,Bloody Body,Teal,Dosbrak
222,Standard,Announcer,,,,SOL Gloves,Bloody Body,Purple,Dosbrak
223,Bald,,,Diamond Grill,,SOL Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
224,Standard,,,Falling Mouthguard,Laser Eyes,Gloves,Patriot Flag,Mustard,Dosbrak
225,Standard,,Bloody,Falling Mouthguard,,Gloves,,Red,Dosbrak
226,Bald,,,Diamond Grill,,,Jiu Jitsu Robe,Teal,Dosbrak
227,Standard,,,Cigar,,Microphone,Suit,Red,Dosbrak
228,Standard,Announcer,,,,Bare Fists,,Red,Dosbrak
229,Standard,,Bloody,Falling Mouthguard,,,Suit,Mustard,Dosbrak
230,Standard,Announcer,Gold Terminator,,,Bare Fists,Bloody Body,Black,Dosbrak
231,Standard,,,,Wayfarers,Bare Fists,Tattoo,Mustard,Dosbrak
232,Standard,,,,Wayfarers,,Suit,Blockasset,Dosbrak
233,Old Mike,,,,Bruised Eye,Gloves,Suit,Teal,Dosbrak
234,Old Mike,,,,,Bloody Gloves,,Black,Dosbrak
235,Standard,,Bloody,,Wayfarers,Bare Fists,Patriot Flag,Teal,Dosbrak
236,Bald,Sparring Headgear,,,,,,Black,Dosbrak
237,Bald,,,,,Gloves,Bloody Body,Black,Dosbrak
238,Standard,,,,Bruised Eye,,Punk Jacket,Black,Dosbrak
239,Bald,Snapback,,,,Bloody Gloves,Tattoo,Purple,Dosbrak
240,Standard,,,Falling Mouthguard,,Bloody Wraps,Bloody Body,Black,Dosbrak
241,Standard,Snapback,,,,Bare Fists,Suit,Red,Dosbrak
242,Standard,,Red Terminator,,,199 Belt,Bloody Body,Black,Dosbrak
243,Standard,Snapback,,Falling Mouthguard,,Gold Gloves,,Blockasset,Dosbrak
244,Standard,,,,,Bloody Gloves,Bloody Body,Mustard,Dosbrak
245,Standard,,,,,Bloody Wraps,Bloody Body,Teal,Dosbrak
246,Standard,,,,,Gloves,Suit,Octagon,Dosbrak
247,Standard,Announcer,Bloody,,,Diamond Gloves,Suit,Black,Dosbrak
248,Bald,,,,Wayfarers,Bare Fists,Bloody Body,Blockasset,Dosbrak
249,Standard,,,,,Bare Fists,,Mustard,Dosbrak
250,Old Mike,,,,Wayfarers,Gloves,Bloody Body,Red,Dosbrak
251,Old Mike,,Bloody,Diamond Grill,,Bloody Wraps,,Red,Dosbrak
252,Bald,,Red Terminator,,Wayfarers,Gloves,Bloody Body,Teal,Dosbrak
253,Bald,Snapback,,,,,Bloody Body,Teal,Dosbrak
254,Standard,Sparring Headgear,Red Terminator,,,Gloves,,Purple,Dosbrak
255,Standard,Snapback,Bloody,,,SOL Gloves,Jiu Jitsu Robe,Black,Dosbrak
256,Bald,Sparring Headgear,,Cigar,,Bare Fists,,Mustard,Dosbrak
257,Bald,Sparring Headgear,,,Laser Eyes,Gold Gloves,,Blockasset,Dosbrak
258,Old Mike,,,,,,Butcher,Mustard,Dosbrak
259,Standard,,,Dosbrak Bandana,,Knuckle Duster Spikes,Jiu Jitsu Robe,Mustard,Dosbrak
260,Standard,Sparring Headgear,,,,SOL Gloves,,Teal,Dosbrak
261,Bald,Snapback,Bloody,Cigar,,Bare Fists,Bloody Body,Red,Dosbrak
262,Standard,Snapback,,,Bruised Eye,Gloves,,Purple,Dosbrak
263,Standard,,,Falling Mouthguard,,Bloody Wraps,Jiu Jitsu Robe,Black,Dosbrak
264,Standard,Sparring Headgear,,Falling Mouthguard,,Bloody Gloves,,Mustard,Dosbrak
265,Standard,,,Cigar,Laser Eyes,,Butcher,Teal,Dosbrak
266,Standard,Sparring Headgear,Bloody,Falling Mouthguard,,,,Teal,Dosbrak
267,Standard,,Red Terminator,,,Bloody Wraps,,Red,Dosbrak
268,Standard,,Bloody,,,199 Belt,Bloody Body,Mustard,Dosbrak
269,Standard,,,Cigar,,Gloves,Tattoo,Teal,Dosbrak
270,Bald,,,Falling Mouthguard,,,Butcher,Teal,Dosbrak
271,Bald,,,,Wayfarers,Bloody Wraps,Punk Jacket,Teal,Dosbrak
272,Standard,,,,,SOL Gloves,Patriot Flag,Red,Dosbrak
273,Old Mike,Sparring Headgear,,Cigar,,Bare Fists,,Red,Dosbrak
274,Standard,,,,,Gloves,Tattoo,Teal,Dosbrak
275,Standard,,,Falling Mouthguard,Wayfarers,Gloves,Jiu Jitsu Robe,Octagon,Dosbrak
276,Standard,,Bloody,,,Gloves,Jiu Jitsu Robe,Red,Dosbrak
277,Bald,,,,Bruised Eye,,Bloody Body,Black,Dosbrak
278,Standard,,Bloody,Falling Mouthguard,Wayfarers,Gloves,Tattoo,Purple,Dosbrak
279,Bald,,,,,Gloves,Tattoo,Black,Dosbrak
280,Standard,Announcer,,Falling Mouthguard,,Diamond Gloves,Jiu Jitsu Robe,Teal,Dosbrak
281,Bald,,,,,,,Mustard,Dosbrak
282,Standard,,,,Wayfarers,Bare Fists,Jiu Jitsu Robe,Teal,Dosbrak
283,Bald,,,,,Bloody Wraps,Jiu Jitsu Robe,Red,Dosbrak
284,Standard,,,Falling Mouthguard,,,Bloody Body,Black,Dosbrak
285,Standard,,,Falling Mouthguard,,,Butcher,Red,Dosbrak
286,Standard,,,Falling Mouthguard,Wayfarers,Bare Fists,Tattoo,Teal,Dosbrak
287,Bald,Sparring Headgear,Bloody,Falling Mouthguard,,,,Mustard,Dosbrak
288,Standard,,,,,,Tattoo,Purple,Dosbrak
289,Standard,,,Falling Mouthguard,,,Suit,Teal,Dosbrak
290,Standard,,Red Terminator,,,Bloody Gloves,,Purple,Dosbrak
291,Standard,,Bloody,,,Gold Gloves,Punk Jacket,Mustard,Dosbrak
292,Bald,Snapback,,,Bruised Eye,,Bloody Body,Black,Dosbrak
293,Bald,,,,,,Butcher,Teal,Dosbrak
294,Old Mike,,Bloody,,,Gloves,Jiu Jitsu Robe,Teal,Dosbrak
295,Standard,Snapback,,,Bruised Eye,Gold Gloves,Bloody Body,Purple,Dosbrak
296,Bald,,,,Wayfarers,Bare Fists,Tattoo,Teal,Dosbrak
297,Bald,,,,Bruised Eye,,Punk Jacket,Black,Dosbrak
298,Standard,Sparring Headgear,,,,Bloody Wraps,,Black,Dosbrak
299,Standard,,,,Wayfarers,Bloody Wraps,Suit,Purple,Dosbrak
300,Standard,Snapback,Gold Terminator,,,Bloody Wraps,Suit,Black,Dosbrak
301,Bald,,,Falling Mouthguard,,Bare Fists,The Count,Purple,Dosbrak
302,Standard,,Bloody,Falling Mouthguard,Wayfarers,Microphone,Suit,Black,Dosbrak
303,Standard,Announcer,,,,Bloody Wraps,,Black,Dosbrak
304,Standard,,,,Bruised Eye,,Butcher,Teal,Dosbrak
305,Bald,,,,Wayfarers,Bare Fists,Bloody Body,Mustard,Dosbrak
306,Bald,,,Diamond Grill,,Gloves,Punk Jacket,Purple,Dosbrak
307,Standard,,Bloody,Falling Mouthguard,,SOL Gloves,Tattoo,Red,Dosbrak
308,Standard,,,Falling Mouthguard,Wayfarers,,Bloody Body,Teal,Dosbrak
309,Standard,Sparring Headgear,,,,Bloody Gloves,,Mustard,Dosbrak
310,Standard,,,,Wayfarers,SOL Gloves,Tattoo,Teal,Dosbrak
311,Standard,,Bloody,Diamond Grill,Laser Eyes,Microphone,Suit,Red,Dosbrak
312,Standard,,Bloody,,,Gold Gloves,,Purple,Dosbrak
313,Standard,,,,,Bloody Wraps,Punk Jacket,Red,Dosbrak
314,Standard,,,,,Microphone,Suit,Black,Dosbrak
315,Standard,,Bloody,Falling Mouthguard,,199 Belt,,Black,Dosbrak
316,Standard,Announcer,Red Terminator,,,Knuckle Duster Spikes,,Red,Dosbrak
317,Old Mike,,,,,,Butcher,Red,Dosbrak
318,Standard,,,Cigar,,Bare Fists,Suit,Teal,Dosbrak
319,Standard,Sparring Headgear,Gold Terminator,,,Gloves,,Black,Dosbrak
320,Standard,,,,Bruised Eye,SOL Gloves,,Teal,Dosbrak
321,Standard,,,,Wayfarers,Bare Fists,Bloody Body,Mustard,Dosbrak
322,Bald,,,,,Bloody Wraps,The Count,Teal,Dosbrak
323,Standard,,,Diamond Grill,Bruised Eye,Bare Fists,Tattoo,Black,Dosbrak
324,Bald,Snapback,,,,Bare Fists,Tattoo,Mustard,Dosbrak
325,Standard,,,,,,Butcher,Red,Dosbrak
326,Standard,Snapback,,,,Microphone,Suit,Black,Dosbrak
327,Standard,Announcer,,,,Gloves,Bloody Body,Mustard,Dosbrak
328,Standard,,Bloody,Cigar,,Bloody Wraps,Bloody Body,Teal,Dosbrak
329,Standard,,,,,,,Red,Dosbrak
330,Standard,,,Cigar,,Gloves,Bloody Body,Red,Dosbrak
331,Standard,,,,Laser Eyes,,Jiu Jitsu Robe,Mustard,Dosbrak
332,Bald,,Bloody,,,Bloody Wraps,Tattoo,Red,Dosbrak
333,Standard,Sparring Headgear,,,,Gloves,,Teal,Dosbrak
334,Standard,,,Falling Mouthguard,,Bare Fists,Patriot Flag,Teal,Dosbrak
335,Standard,,Bloody,Cigar,,Bare Fists,Bloody Body,Teal,Dosbrak
336,Standard,,,,Wayfarers,Gloves,Bloody Body,Purple,Dosbrak
337,Standard,Announcer,Bloody,,,Gloves,Suit,Red,Dosbrak
338,Old Mike,,Bloody,Diamond Grill,Wayfarers,Bloody Gloves,Tattoo,Teal,Dosbrak
339,Standard,,Bloody,,Wayfarers,Bare Fists,Suit,Red,Dosbrak
340,Standard,,Bloody,,,Bloody Gloves,Jiu Jitsu Robe,Teal,Dosbrak
341,Standard,,,,Bruised Eye,Microphone,Suit,Red,Dosbrak
342,Old Mike,Announcer,,,,Gold Gloves,Patriot Flag,Red,Dosbrak
343,Standard,,,,,Gloves,Tattoo,Mustard,Dosbrak
344,Standard,,,,Wayfarers,Bare Fists,Jiu Jitsu Robe,Purple,Dosbrak
345,Standard,DJ Mikey B,Bloody,Cigar,,Bloody Gloves,Bloody Body,Teal,Dosbrak
346,Bald,,,,Laser Eyes,,Patriot Flag,Teal,Dosbrak
