Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
32,Standard,,Sweat,,,Crown Ball,NZ Away Jersey,Orange,Dosbrak
33,Standard,,,,Eye Injury,Gold Chain,NZ Jersey,Red,Dosbrak
34,Standard,,,,,Egg Ball,NZ Jersey,Orange,Dosbrak
35,Old,Headband,Haka,,,,NZ Jersey,Red,Dosbrak
36,Standard,,,Solana Mouthguard,,Old Ball,CM Jersey,Purple,Dosbrak
37,Standard,BA Snapback,,,,Egg Ball,Yellow Jersey,Red,Dosbrak
38,Old,BA Snapback,Haka,,Wayfarers,,Blue Suit,Blockasset,Dosbrak
39,Standard,,,NZ Mouth Guard,,Old Ball,Shirt,Red,Dosbrak
40,Old,Headband,,NZ Mouth Guard,,,CM Jersey,Orange,Dosbrak
41,Standard,,,Solana Mouthguard,Eye Injury,Ball,NZ Jersey,Black,Dosbrak
42,Standard,,Sweat,Solana Mouthguard,Wayfarers,Old Ball,NZ Jersey,Orange,Dosbrak
43,Standard,,,,,Old Ball,CM Jersey,Orange,Dosbrak
44,Standard,Hat,Haka,,,,Solana Jersey,Purple,Dosbrak
45,Standard,Hat,,,,NZ Ball,NZ Away Jersey,Black,Dosbrak
46,Standard,Headband,,,,NZ Ball,NZ Jersey,Red,Dosbrak
47,Standard,,,,,NZ Ball,NZ Old Jersey,Purple,Dosbrak
48,Standard,Hat,,,,Old Ball,NZ Jersey,Red,Dosbrak
49,Standard,Headband,,,,Ball,NZ Away Jersey,Purple,Dosbrak
50,Old,,,,,Old Ball,Shirt,Red,Dosbrak
51,Standard,,Sweat,Solana Mouthguard,,Ball,NZ Old Jersey,Black,Dosbrak
52,Standard,,,,Wayfarers,Fire Ball,NZ Jersey,Blue,Dosbrak
53,Standard,,Haka,,,Ball,NZ Old Jersey,Black,Dosbrak
54,Standard,,,Solana Mouthguard,,Boots,CM Jersey,Blue,Dosbrak
55,Standard,,,NZ Mouth Guard,,Ball,NZ Jersey,Red,Dosbrak
56,Standard,,Haka,,,,Blue Suit,Blockasset,Dosbrak
57,Old,Headband,,,,Boom Box,Blue Suit,Black,Dosbrak
58,Old,,,,Eye Injury,Crown Ball,Shirt,Purple,Dosbrak
59,Standard,,,Solana Mouthguard,Wayfarers,Old Ball,Yellow Jersey,Purple,Dosbrak
60,Standard,,,,Eye Injury,,Blue Suit,Blue,Dosbrak
61,Standard,,,,Eye Injury,Fire Ball,CM Jersey,Black,Dosbrak
62,Standard,,,NZ Mouth Guard,,,Yellow Jersey,Blue,Dosbrak
63,Standard,Headband,,Solana Mouthguard,Laser Eyes,,Yellow Jersey,Blockasset,Dosbrak
64,Young,,Haka,,,Ball,Solana Jersey,Black,Dosbrak
65,Old,BA Snapback,,,Wayfarers,Boots,Solana Jersey,Purple,Dosbrak
66,Standard,Headband,,,,Fire Ball,NZ Jersey,Red,Dosbrak
67,Old,,,Diamond Grill,Eye Injury,Crown Ball,Solana Jersey,Orange,Dosbrak
68,Young,,,,,Ball,Blue Suit,Blue,Dosbrak
69,Standard,,,,,Gold Chain,NZ Jersey,Orange,Dosbrak
70,Standard,Headband,Haka,,,Ball,NZ Jersey,Red,Dosbrak
71,Standard,,,,Eye Injury,Fire Ball,NZ Away Jersey,Blockasset,Dosbrak
72,Old,,,,,Boots,Solana Jersey,Orange,Dosbrak
73,Young,,,NZ Mouth Guard,,Boots,NZ Away Jersey,Orange,Dosbrak
74,Standard,,,,Wayfarers,Ball,Blue Suit,Red,Dosbrak
75,Standard,Halo,,NZ Mouth Guard,Wayfarers,Gold Chain,NZ Jersey,Purple,Dosbrak
76,Old,Hat,Haka,,,Crown Ball,CM Jersey,Purple,Dosbrak
77,Standard,,,,Eye Injury,Crown Ball,NZ Jersey,Blockasset,Dosbrak
78,Standard,Headband,,,,Ball,NZ Jersey,Gold,Dosbrak
79,Old,,,,,NZ Ball,CM Jersey,Black,Dosbrak
80,Standard,,,,,Old Ball,NZ Away Jersey,Orange,Dosbrak
81,Standard,,Haka,,Wayfarers,Diamond Ball,Yellow Jersey,Red,Dosbrak
82,Young,,Haka,,Wayfarers,Boots,NZ Old Jersey,Black,Dosbrak
83,Standard,Hat,Haka,,,NZ Ball,Shirt,Gold,Dosbrak
84,Standard,Hat,,,Wayfarers,Ball,Solana Jersey,Orange,Dosbrak
85,Standard,,,Diamond Grill,,,Blue Suit,Orange,Dosbrak
86,Old,Hat,,NZ Mouth Guard,Wayfarers,Crown Ball,Yellow Jersey,Blue,Dosbrak
87,Standard,Halo,,,,Fire Ball,NZ Away Jersey,Black,Dosbrak
88,Old,,Sweat,,,Ball,NZ Away Jersey,Blue,Dosbrak
89,Young,Halo,Haka,,,,Yellow Jersey,Gold,Dosbrak
90,Old,BA Snapback,Sweat,NZ Mouth Guard,Wayfarers,Boots,Solana Jersey,Purple,Dosbrak
91,Standard,Hat,,,,NZ Ball,NZ Jersey,Orange,Dosbrak
92,Standard,,,,,Old Ball,CM Jersey,Black,Dosbrak
93,Standard,Hat,Haka,,,Fire Ball,NZ Away Jersey,Red,Dosbrak
94,Standard,,,,,Crown Ball,Blue Suit,Blue,Dosbrak
95,Young,,,NZ Mouth Guard,,NZ Ball,Shirt,Black,Dosbrak
96,Old,,Haka,,Eye Injury,Old Ball,Blue Suit,Black,Dosbrak
97,Standard,,Bane,Solana Mouthguard,Eye Injury,Crown Ball,Yellow Jersey,Red,Dosbrak
98,Standard,Headband,,,,Crown Ball,CM Jersey,Blue,Dosbrak
99,Young,BA Snapback,,,Wayfarers,Crown Ball,NZ Old Jersey,Red,Dosbrak
100,Old,,,,Eye Injury,,Solana Jersey,Gold,Dosbrak
101,Old,,,,Wayfarers,Crown Ball,Black Tie,Blue,Dosbrak
102,Standard,,,,,Fire Ball,NZ Away Jersey,Black,Dosbrak
103,Old,,,NZ Mouth Guard,,Boots,Black Tie,Blockasset,Dosbrak
104,Standard,Headband,,,,,Solana Jersey,Purple,Dosbrak
105,Standard,,,NZ Mouth Guard,,Ball,Yellow Jersey,Purple,Dosbrak
106,Standard,,Haka,,Eye Injury,NZ Ball,NZ Away Jersey,Black,Dosbrak
107,Standard,BA Snapback,,NZ Mouth Guard,Wayfarers,,NZ Jersey,Purple,Dosbrak
108,Standard,,,,,Boom Box,NZ Jersey,Red,Dosbrak
109,Standard,Halo,,,,NZ Ball,NZ Jersey,Black,Dosbrak
110,Standard,,,,,Gold Chain,NZ Away Jersey,Orange,Dosbrak
111,Old,,Haka,,,Boom Box,Shirt,Orange,Dosbrak
112,Old,BA Snapback,,,Laser Eyes,Old Ball,NZ Jersey,Blue,Dosbrak
113,Young,,Haka,,Eye Injury,Crown Ball,Shirt,Purple,Dosbrak
114,Old,,,,Wayfarers,Old Ball,NZ Jersey,Blue,Dosbrak
115,Old,,,,,Old Ball,Shirt,Blue,Dosbrak
116,Standard,BA Snapback,,,,Ball,NZ Jersey,Red,Dosbrak
117,Standard,BA Snapback,,Diamond Grill,,NZ Ball,NZ Away Jersey,Black,Dosbrak
118,Standard,,,,,,NZ Jersey,Black,Dosbrak
119,Old,Halo,,NZ Mouth Guard,,,Solana Jersey,Orange,Dosbrak
120,Standard,BA Snapback,Haka,,,Egg Ball,Shirt,Black,Dosbrak
121,Standard,,,,Eye Injury,,Blue Suit,Red,Dosbrak
122,Standard,,Haka,,,NZ Ball,NZ Jersey,Black,Dosbrak
123,Old,BA Snapback,,,,Old Ball,NZ Jersey,Orange,Dosbrak
124,Standard,,Haka,,Laser Eyes,,Shirt,Red,Dosbrak
125,Standard,,,,Wayfarers,Egg Ball,Solana Jersey,Orange,Dosbrak
126,Standard,Hat,Sweat,,,Old Ball,NZ Old Jersey,Blue,Dosbrak
127,Standard,BA Snapback,Sweat,NZ Mouth Guard,Laser Eyes,Ball,NZ Jersey,Red,Dosbrak
128,Standard,Headband,,,Laser Eyes,Old Ball,Blue Suit,Blue,Dosbrak
129,Standard,Halo,,,,Ball,NZ Jersey,Purple,Dosbrak
130,Standard,Hat,Haka,,Wayfarers,Gold Chain,Shirt,Black,Dosbrak
131,Old,Hat,,,Wayfarers,Crown Ball,CM Jersey,Orange,Dosbrak
132,Standard,BA Snapback,Haka,,,,NZ Jersey,Orange,Dosbrak
133,Standard,Headband,,,,Old Ball,Yellow Jersey,Black,Dosbrak
134,Standard,,,,Eye Injury,Boots,NZ Jersey,Purple,Dosbrak
135,Old,Hat,,,,NZ Ball,Blue Suit,Purple,Dosbrak
136,Standard,,Sweat,,Wayfarers,Fire Ball,NZ Away Jersey,Red,Dosbrak
137,Standard,,,,Eye Injury,Crown Ball,NZ Away Jersey,Red,Dosbrak
138,Standard,,,,Wayfarers,Gold Chain,Shirt,Purple,Dosbrak
139,Old,,,,,,NZ Jersey,Red,Dosbrak
140,Standard,,,NZ Mouth Guard,,Boots,Yellow Jersey,Black,Dosbrak
141,Standard,BA Snapback,,NZ Mouth Guard,,Ball,Yellow Jersey,Red,Dosbrak
142,Standard,,,,Wayfarers,Gold Chain,NZ Jersey,Black,Dosbrak
143,Old,Hat,,,,Old Ball,Shirt,Orange,Dosbrak
144,Standard,Hat,,,,Boots,NZ Away Jersey,Purple,Dosbrak
145,Standard,,,,,Egg Ball,Shirt,Orange,Dosbrak
146,Old,,,Solana Mouthguard,,Crown Ball,Shirt,Blockasset,Dosbrak
147,Standard,,Sweat,,Eye Injury,Gold Chain,Solana Jersey,Red,Dosbrak
148,Standard,Halo,Haka,,,NZ Ball,Yellow Jersey,Blue,Dosbrak
149,Standard,,,,,Crown Ball,NZ Jersey,Black,Dosbrak
150,Standard,,,,,,Blue Suit,Blue,Dosbrak
151,Standard,,Sweat,Solana Mouthguard,,Boots,NZ Old Jersey,Blue,Dosbrak
152,Standard,,,,,Ball,Shirt,Purple,Dosbrak
153,Standard,Crown,,Solana Mouthguard,,Crown Ball,Astronaut,Black,Dosbrak
154,Standard,,Haka,,Wayfarers,Ball,NZ Jersey,Purple,Dosbrak
155,Old,Halo,Haka,,,Ball,Yellow Jersey,Gold,Dosbrak
156,Standard,,,,,Crown Ball,NZ Away Jersey,Orange,Dosbrak
157,Old,Hat,,,,Ball,Shirt,Purple,Dosbrak
158,Standard,BA Snapback,,,,Crown Ball,NZ Away Jersey,Black,Dosbrak
159,Old,,,,Eye Injury,Gold Chain,NZ Away Jersey,Purple,Dosbrak
160,Young,,,,,NZ Ball,NZ Away Jersey,Black,Dosbrak
161,Standard,Headband,,,,Ball,NZ Away Jersey,Orange,Dosbrak
162,Old,,,,Wayfarers,Boots,Yellow Jersey,Red,Dosbrak
163,Standard,Hat,,,,Boom Box,NZ Away Jersey,Orange,Dosbrak
164,Standard,,Haka,,Eye Injury,Ball,NZ Away Jersey,Black,Dosbrak
165,Standard,,Haka,,Eye Injury,Old Ball,CM Jersey,Red,Dosbrak
166,Young,BA Snapback,,,,Egg Ball,Blue Suit,Red,Dosbrak
167,Old,BA Snapback,,,,Old Ball,Shirt,Orange,Dosbrak
168,Standard,,,,Wayfarers,Gold Chain,NZ Jersey,Purple,Dosbrak
169,Old,Hat,Haka,,Laser Eyes,Ball,Blue Suit,Black,Dosbrak
170,Young,,Haka,,Wayfarers,NZ Ball,Blue Suit,Purple,Dosbrak
171,Old,,Haka,,Wayfarers,Old Ball,Solana Jersey,Blue,Dosbrak
172,Standard,Headband,,,,Diamond Ball,Solana Jersey,Blue,Dosbrak
173,Standard,,Haka,,,Ball,Solana Jersey,Orange,Dosbrak
174,Old,,,,Eye Injury,,Blue Suit,Orange,Dosbrak
175,Standard,BA Snapback,,,,Egg Ball,Solana Jersey,Purple,Dosbrak
176,Standard,,,Diamond Grill,Wayfarers,,NZ Away Jersey,Blue,Dosbrak
177,Standard,,,,,Gold Chain,Blue Suit,Purple,Dosbrak
178,Standard,,,,,,Solana Jersey,Orange,Dosbrak
179,Standard,,Sweat,,Eye Injury,Crown Ball,CM Jersey,Orange,Dosbrak
180,Standard,,,,Wayfarers,,NZ Jersey,Blue,Dosbrak
181,Standard,,,Solana Mouthguard,Wayfarers,,Astronaut,Blue,Dosbrak
182,Standard,,Haka,,,Ball,Shirt,Purple,Dosbrak
183,Standard,,Sweat,,Eye Injury,Old Ball,NZ Away Jersey,Gold,Dosbrak
184,Standard,,,,Wayfarers,,Yellow Jersey,Purple,Dosbrak
185,Standard,,Haka,,,Ball,NZ Away Jersey,Orange,Dosbrak
186,Standard,Headband,Haka,,Wayfarers,Egg Ball,NZ Jersey,Red,Dosbrak
187,Standard,,Haka,,Wayfarers,,CM Jersey,Gold,Dosbrak
188,Standard,,Haka,,Eye Injury,,NZ Away Jersey,Black,Dosbrak
189,Standard,,Sweat,,,Crown Ball,Yellow Jersey,Black,Dosbrak
190,Old,,,,,,Blue Suit,Red,Dosbrak
191,Young,,,NZ Mouth Guard,Eye Injury,Ball,NZ Jersey,Orange,Dosbrak
192,Old,,,,,,Blue Suit,Black,Dosbrak
193,Standard,,,,Eye Injury,Old Ball,NZ Jersey,Black,Dosbrak
194,Standard,BA Snapback,,,,Old Ball,NZ Old Jersey,Blue,Dosbrak
195,Standard,,,,Eye Injury,Ball,CM Jersey,Black,Dosbrak
196,Standard,,,,,Egg Ball,Solana Jersey,Purple,Dosbrak
197,Standard,BA Snapback,,,,Crown Ball,CM Jersey,Black,Dosbrak
198,Standard,,Haka,,Eye Injury,NZ Ball,NZ Jersey,Orange,Dosbrak
199,Standard,Halo,Haka,,,Fire Ball,NZ Jersey,Black,Dosbrak
200,Standard,Halo,,NZ Mouth Guard,Wayfarers,Crown Ball,NZ Old Jersey,Black,Dosbrak
201,Standard,,,NZ Mouth Guard,,Boots,CM Jersey,Blue,Dosbrak
202,Standard,,Haka,,,Old Ball,NZ Away Jersey,Black,Dosbrak
203,Standard,,,,Wayfarers,Old Ball,NZ Jersey,Black,Dosbrak
204,Standard,Headband,,Solana Mouthguard,,,Solana Jersey,Black,Dosbrak
205,Old,,,,Eye Injury,,Shirt,Red,Dosbrak
206,Standard,Headband,,,Wayfarers,Boots,Shirt,Red,Dosbrak
207,Old,,,,Eye Injury,,Blue Suit,Red,Dosbrak
208,Standard,,Sweat,,,Old Ball,Solana Jersey,Red,Dosbrak
209,Old,,,Solana Mouthguard,Eye Injury,Old Ball,NZ Jersey,Orange,Dosbrak
210,Standard,Headband,,,,NZ Ball,Solana Jersey,Red,Dosbrak
211,Young,Hat,,,Wayfarers,NZ Ball,NZ Away Jersey,Blue,Dosbrak
212,Old,,Haka,,,Old Ball,CM Jersey,Red,Dosbrak
213,Young,,,NZ Mouth Guard,,Boots,Shirt,Black,Dosbrak
214,Standard,Halo,Haka,,Wayfarers,NZ Ball,CM Jersey,Orange,Dosbrak
215,Standard,BA Snapback,,,,Old Ball,NZ Jersey,Orange,Dosbrak
216,Standard,,,,,Old Ball,Shirt,Purple,Dosbrak
217,Old,,,NZ Mouth Guard,Eye Injury,Crown Ball,NZ Jersey,Orange,Dosbrak
218,Standard,Hat,,,,Old Ball,NZ Jersey,Purple,Dosbrak
219,Old,,Haka,,Wayfarers,Crown Ball,CM Jersey,Gold,Dosbrak
220,Standard,,Haka,,Eye Injury,Fire Ball,NZ Old Jersey,Blockasset,Dosbrak
221,Standard,Halo,Haka,,Wayfarers,Old Ball,Solana Jersey,Purple,Dosbrak
222,Old,Halo,,,,Ball,Yellow Jersey,Orange,Dosbrak
223,Young,,,NZ Mouth Guard,,Old Ball,NZ Away Jersey,Red,Dosbrak
224,Standard,,,,Eye Injury,,NZ Jersey,Red,Dosbrak
225,Standard,,,,Wayfarers,Ball,Shirt,Orange,Dosbrak
226,Standard,Headband,Sweat,,,Old Ball,Yellow Jersey,Black,Dosbrak
227,Standard,Headband,,,Wayfarers,Boots,Solana Jersey,Red,Dosbrak
228,Standard,,,NZ Mouth Guard,Wayfarers,Boots,Solana Jersey,Black,Dosbrak
229,Standard,,,,,Fire Ball,NZ Jersey,Black,Dosbrak
230,Standard,,,,Laser Eyes,Boom Box,Shirt,Gold,Dosbrak
231,Standard,,Haka,,Eye Injury,Gold Chain,CM Jersey,Blue,Dosbrak
232,Old,Halo,Sweat,,Wayfarers,Ball,Solana Jersey,Black,Dosbrak
233,Standard,,,,,Ball,Blue Suit,Orange,Dosbrak
234,Young,,Haka,,Eye Injury,Old Ball,Solana Jersey,Blue,Dosbrak
235,Standard,BA Snapback,Haka,,Wayfarers,Egg Ball,Blue Suit,Purple,Dosbrak
236,Young,,,Diamond Grill,,NZ Ball,NZ Away Jersey,Orange,Dosbrak
237,Standard,,,,,Boots,Yellow Jersey,Blue,Dosbrak
238,Old,,,,Laser Eyes,Boots,Shirt,Orange,Dosbrak
239,Standard,,Haka,,Eye Injury,Gold Chain,Blue Suit,Red,Dosbrak
240,Standard,,,,Eye Injury,Ball,NZ Jersey,Black,Dosbrak
241,Young,Headband,,,,NZ Ball,CM Jersey,Blue,Dosbrak
242,Young,,,,Eye Injury,,NZ Jersey,Purple,Dosbrak
243,Standard,,,,,Egg Ball,NZ Away Jersey,Purple,Dosbrak
244,Standard,BA Snapback,,,,,Blue Suit,Black,Dosbrak
245,Standard,,,,,Gold Chain,Yellow Jersey,Purple,Dosbrak
246,Standard,,,,,Egg Ball,NZ Away Jersey,Orange,Dosbrak
247,Standard,,,,,Old Ball,Solana Jersey,Blue,Dosbrak
248,Young,Hat,,NZ Mouth Guard,Wayfarers,Boom Box,Black Tie,Blockasset,Dosbrak
249,Standard,Halo,,,,NZ Ball,NZ Away Jersey,New Zealand,Dosbrak
250,Standard,BA Snapback,,,,Egg Ball,Black Tie,Red,Dosbrak
251,Standard,Hat,,,,,Shirt,Black,Dosbrak
252,Old,,,NZ Mouth Guard,Wayfarers,,Solana Jersey,Red,Dosbrak
253,Old,BA Snapback,Haka,,,Old Ball,Shirt,Black,Dosbrak
254,Standard,BA Snapback,Haka,,,,Shirt,Black,Dosbrak
255,Old,,,,,NZ Ball,Blue Suit,Purple,Dosbrak
256,Old,,,NZ Mouth Guard,,Gold Chain,Shirt,Purple,Dosbrak
257,Standard,Headband,,,,Ball,CM Jersey,Gold,Dosbrak
258,Old,,,,Eye Injury,NZ Ball,NZ Away Jersey,Black,Dosbrak
259,Standard,,Haka,,Eye Injury,Crown Ball,Solana Jersey,Black,Dosbrak
260,Young,,,,Wayfarers,NZ Ball,Blue Suit,Black,Dosbrak
261,Standard,Hat,,,,Egg Ball,NZ Away Jersey,Black,Dosbrak
262,Old,Halo,,,,Ball,NZ Jersey,Orange,Dosbrak
263,Old,,Haka,,Wayfarers,Egg Ball,NZ Away Jersey,Orange,Dosbrak
264,Standard,,,,,,CM Jersey,Black,Dosbrak
265,Standard,,,,Wayfarers,Old Ball,Blue Suit,Red,Dosbrak
266,Old,,,Solana Mouthguard,,Boots,NZ Away Jersey,Purple,Dosbrak
267,Standard,,Sweat,,,Ball,Solana Jersey,Gold,Dosbrak
268,Young,,,,,Old Ball,NZ Away Jersey,Orange,Dosbrak
269,Old,,Haka,,,Ball,Solana Jersey,Black,Dosbrak
270,Standard,BA Snapback,,Diamond Grill,,Fire Ball,NZ Jersey,Purple,Dosbrak
271,Standard,Halo,Haka,,,NZ Ball,Shirt,Purple,Dosbrak
272,Standard,,Haka,,Eye Injury,,Blue Suit,Black,Dosbrak
273,Standard,Headband,Sweat,,,,CM Jersey,Black,Dosbrak
274,Standard,Hat,Haka,,,Old Ball,CM Jersey,Purple,Dosbrak
275,Old,,,,Laser Eyes,Gold Chain,NZ Jersey,Black,Dosbrak
276,Standard,,,,Eye Injury,Crown Ball,Solana Jersey,Black,Dosbrak
277,Old,Headband,,Solana Mouthguard,Wayfarers,Crown Ball,CM Jersey,Black,Dosbrak
278,Standard,,Haka,,Laser Eyes,Gold Chain,NZ Jersey,Black,Dosbrak
279,Standard,Hat,Haka,,Laser Eyes,Old Ball,NZ Jersey,Black,Dosbrak
280,Standard,,,,,Gold Chain,NZ Jersey,Purple,Dosbrak
281,Old,,,,,Old Ball,Solana Jersey,Purple,Dosbrak
282,Standard,,,,Wayfarers,Ball,Solana Jersey,Red,Dosbrak
283,Standard,,,,Wayfarers,Old Ball,NZ Away Jersey,Orange,Dosbrak
284,Young,Hat,Haka,,,Egg Ball,NZ Jersey,Blockasset,Dosbrak
285,Standard,,Haka,,Eye Injury,Old Ball,NZ Jersey,Orange,Dosbrak
286,Standard,,Haka,,,Ball,Solana Jersey,Gold,Dosbrak
287,Standard,,,,,Old Ball,NZ Jersey,Red,Dosbrak
288,Standard,,Sweat,,Wayfarers,Old Ball,CM Jersey,Orange,Dosbrak
289,Standard,Hat,Haka,,,Crown Ball,NZ Jersey,Purple,Dosbrak
290,Standard,,,,,Boots,Shirt,Red,Dosbrak
291,Standard,BA Snapback,,Solana Mouthguard,Wayfarers,Ball,Solana Jersey,Black,Dosbrak
292,Old,,,,Eye Injury,,Solana Jersey,Black,Dosbrak
293,Standard,,,,,Old Ball,Yellow Jersey,Orange,Dosbrak
294,Standard,Hat,,Solana Mouthguard,Wayfarers,Egg Ball,CM Jersey,Black,Dosbrak
295,Standard,Hat,Haka,,,Old Ball,NZ Old Jersey,Red,Dosbrak
296,Young,BA Snapback,,NZ Mouth Guard,,Fire Ball,Solana Jersey,Black,Dosbrak
297,Old,,,,Wayfarers,Old Ball,Solana Jersey,Gold,Dosbrak
298,Old,,,,,Egg Ball,Blue Suit,Black,Dosbrak
299,Old,,,,,Fire Ball,NZ Jersey,Orange,Dosbrak
300,Standard,,,,,Egg Ball,NZ Old Jersey,Orange,Dosbrak
301,Standard,Headband,,Solana Mouthguard,,Ball,Shirt,Red,Dosbrak
302,Standard,,Sweat,,,,NZ Jersey,Orange,Dosbrak
303,Old,,,,Laser Eyes,Ball,NZ Jersey,Gold,Dosbrak
304,Standard,,,,Wayfarers,Old Ball,NZ Away Jersey,Red,Dosbrak
305,Standard,Headband,,,,Old Ball,NZ Old Jersey,Orange,Dosbrak
306,Standard,,Haka,,,,NZ Jersey,Blue,Dosbrak
307,Standard,,,,,Egg Ball,Blue Suit,Black,Dosbrak
308,Old,,Haka,,,,Solana Jersey,Purple,Dosbrak
309,Standard,Hat,,,,Egg Ball,Shirt,Black,Dosbrak
310,Young,,,Diamond Grill,Wayfarers,NZ Ball,NZ Away Jersey,Blue,Dosbrak
311,Young,BA Snapback,,NZ Mouth Guard,,Boots,Solana Jersey,Black,Dosbrak
312,Standard,BA Snapback,Sweat,,Wayfarers,Ball,Yellow Jersey,Blue,Dosbrak
313,Young,,Haka,,Wayfarers,Egg Ball,CM Jersey,Red,Dosbrak
314,Young,,,,Eye Injury,,CM Jersey,Black,Dosbrak
315,Standard,,,,Wayfarers,NZ Ball,Blue Suit,Blue,Dosbrak
316,Standard,BA Snapback,,,Wayfarers,Ball,CM Jersey,Purple,Dosbrak
317,Standard,,,,,Ball,NZ Jersey,Red,Dosbrak
318,Standard,Headband,,,,Old Ball,Blue Suit,Orange,Dosbrak
319,Standard,,,,,NZ Ball,Shirt,Orange,Dosbrak
320,Standard,,,,Wayfarers,Crown Ball,CM Jersey,Blue,Dosbrak
321,Standard,Halo,,NZ Mouth Guard,Laser Eyes,Old Ball,NZ Jersey,Black,Dosbrak
322,Standard,,,,Eye Injury,Diamond Ball,CM Jersey,Orange,Dosbrak
323,Standard,Hat,,,,Fire Ball,NZ Jersey,Black,Dosbrak
324,Young,,,Diamond Grill,Wayfarers,,NZ Jersey,Purple,Dosbrak
325,Standard,,,Solana Mouthguard,Wayfarers,NZ Ball,CM Jersey,Orange,Dosbrak
326,Standard,Halo,,,,Egg Ball,Blue Suit,Orange,Dosbrak
327,Standard,Halo,,NZ Mouth Guard,Wayfarers,Fire Ball,CM Jersey,Red,Dosbrak
328,Old,,,Solana Mouthguard,,Boom Box,NZ Old Jersey,Black,Dosbrak
329,Standard,Headband,Haka,,,Ball,NZ Away Jersey,Blockasset,Dosbrak
330,Standard,,,,Eye Injury,Gold Chain,Yellow Jersey,Red,Dosbrak
331,Old,Headband,,NZ Mouth Guard,Laser Eyes,Old Ball,NZ Away Jersey,Blue,Dosbrak
332,Standard,Hat,,,,,Blue Suit,Black,Dosbrak
333,Standard,,,,,Boots,NZ Jersey,Red,Dosbrak
334,Standard,,,,Eye Injury,Ball,Solana Jersey,Orange,Dosbrak
335,Standard,,Haka,,Eye Injury,NZ Ball,NZ Jersey,Black,Dosbrak
336,Standard,BA Snapback,,,Laser Eyes,NZ Ball,Yellow Jersey,Purple,Dosbrak
337,Standard,BA Snapback,,,,Crown Ball,NZ Old Jersey,Purple,Dosbrak
338,Old,Headband,,NZ Mouth Guard,,,NZ Away Jersey,Blue,Dosbrak
339,Old,Hat,Sweat,,,Ball,Solana Jersey,Orange,Dosbrak
340,Standard,,Haka,,,Ball,Solana Jersey,Blue,Dosbrak
341,Standard,,,,,NZ Ball,CM Jersey,Orange,Dosbrak
342,Young,,,,,Ball,NZ Jersey,Black,Dosbrak
343,Standard,,Haka,,Eye Injury,Fire Ball,NZ Jersey,Black,Dosbrak
344,Young,,,,,Fire Ball,NZ Old Jersey,Blue,Dosbrak
345,Standard,,Haka,,Eye Injury,,Shirt,Gold,Dosbrak
346,Standard,,,,Wayfarers,Fire Ball,CM Jersey,Red,Dosbrak
